rank,company_name,company_type,value_usd,value_type,value_as_of,previous_value_usd,previous_value_as_of,price_change_30d_pct,source_name,source_url,source_published_at,source_tier,methodology_note
1,OpenAI,private,852000000000,post_money_valuation,2026-03-31,300000000000,2025-03-31,,OpenAI,https://openai.com/index/accelerating-the-next-phase-ai/,2026-03-31,official,Latest completed disclosed funding round; post-money valuation.
2,Anthropic,private,380000000000,post_money_valuation,2026-02-12,183000000000,2025-09-02,,Anthropic,https://www.anthropic.com/news/anthropic-raises-30-billion-series-g-funding-380-billion-post-money-valuation,2026-02-12,official,Latest completed disclosed funding round; post-money valuation.
3,Databricks,private,134000000000,financing_valuation,2026-02-09,100000000000,2025-09-08,,Databricks / PR Newswire,https://www.prnewswire.com/news-releases/databricks-grows-65-yoy-surpasses-5-4-billion-revenue-run-rate-doubles-down-on-lakebase-and-genie-302682674.html,2026-02-09,official,Completed equity financing valuation; later reported talks are excluded until a round closes.
4,Figure AI,private,39000000000,post_money_valuation,2025-09-16,2600000000,2024-02-29,,Figure AI,https://www.figure.ai/news/series-c,2025-09-16,official,Latest completed disclosed funding round; post-money valuation.
5,Safe Superintelligence,private,32000000000,financing_valuation,2025-04-12,5000000000,2024-09-04,,TechCrunch / Financial Times,https://techcrunch.com/2025/04/12/openai-co-founder-ilya-sutskevers-safe-superintelligence-reportedly-valued-at-32b/,2025-04-12,tier_one_media,Reported completed financing valuation; company did not publish a detailed round announcement.
6,Anysphere,private,29300000000,financing_valuation,2025-11-13,9900000000,2025-06-05,,TechCrunch / Wall Street Journal,https://techcrunch.com/2025/11/13/coding-assistant-cursor-raises-2-3b-5-months-after-its-previous-round/,2025-11-13,tier_one_media,Latest completed priced round; later talks and acquisition-option values are excluded.
7,Perplexity,private,20000000000,financing_valuation,2025-09-10,18000000000,2025-07-10,,Reuters / The Information,https://www.investing.com/news/stock-market-news/perplexity-finalizes-20-billion-valuation-round-the-information-reports-4234608,2025-09-10,tier_one_media,Investor commitments reported for the latest financing; Reuters could not independently verify the source report.
8,Helsing,private,13700000000,financing_valuation,2025-06-17,5400000000,2024-07-11,,Tech.eu,https://tech.eu/2025/06/17/helsing-raises-600-million-elevating-valuation-to-eur12bn/,2025-06-17,tier_one_media,EUR12B round valuation converted to approximately USD13.7B for cross-company display.
9,Mistral AI,private,13700000000,financing_valuation,2025-09-09,6200000000,2024-06-11,,ASML,https://www.asml.com/en/news/press-releases/2025/asml-mistral-ai-enter-strategic-partnership,2025-09-09,official,EUR11.7B disclosed valuation converted to approximately USD13.7B; current fundraising talks are excluded.
10,Thinking Machines Lab,private,12000000000,financing_valuation,2025-07-15,,,,Reuters,https://finance.yahoo.com/news/mira-muratis-ai-startup-thinking-170344492.html,2025-07-15,tier_one_media,First completed disclosed funding round; no comparable prior priced round.
1,NVIDIA,public,4802974000000,market_cap,2026-06-30,,, -10.82,Nasdaq,https://www.nasdaq.com/market-activity/stocks/nvda,2026-06-30,exchange,Total company market capitalization at June 30 close; price change compares June 30 with June 1 close.
2,Alphabet,public,4306489231200,market_cap,2026-06-30,,, -5.05,Nasdaq,https://www.nasdaq.com/market-activity/stocks/googl,2026-06-30,exchange,Total company market capitalization at June 30 close; price change compares June 30 with June 1 close.
3,Apple,public,4250503201573,market_cap,2026-06-30,,, -5.53,Nasdaq,https://www.nasdaq.com/market-activity/stocks/aapl,2026-06-30,exchange,Total company market capitalization at June 30 close; price change compares June 30 with June 1 close.
4,Microsoft,public,2816491018022,market_cap,2026-06-30,,, -19.00,Nasdaq,https://www.nasdaq.com/market-activity/stocks/msft,2026-06-30,exchange,Total company market capitalization at June 30 close; price change compares June 30 with June 1 close.
5,Amazon,public,2567614451279,market_cap,2026-06-30,,, -8.77,Nasdaq,https://www.nasdaq.com/market-activity/stocks/amzn,2026-06-30,exchange,Total company market capitalization at June 30 close; price change compares June 30 with June 1 close.
6,TSMC,public,2459400170739,market_cap,2026-06-30,,,9.63,Nasdaq,https://www.nasdaq.com/market-activity/stocks/tsm,2026-06-30,exchange,ADR-based total company market capitalization at June 30 close; price change compares June 30 with June 1 ADR close.
7,Broadcom,public,1785519848309,market_cap,2026-06-30,,, -17.88,Nasdaq,https://www.nasdaq.com/market-activity/stocks/avgo,2026-06-30,exchange,Total company market capitalization at June 30 close; price change compares June 30 with June 1 close.
8,Tesla,public,1566625098310,market_cap,2026-06-30,,,1.13,Nasdaq,https://www.nasdaq.com/market-activity/stocks/tsla,2026-06-30,exchange,Total company market capitalization at June 30 close; included for AI software robotics and autonomy exposure.
9,Meta,public,1430046152541,market_cap,2026-06-30,,, -6.19,Nasdaq,https://www.nasdaq.com/market-activity/stocks/meta,2026-06-30,exchange,Total company market capitalization at June 30 close; price change compares June 30 with June 1 close.
10,Oracle,public,427749943500,market_cap,2026-06-30,,, -40.94,Nasdaq,https://www.nasdaq.com/market-activity/stocks/orcl,2026-06-30,exchange,Total company market capitalization at June 30 close; included for cloud and AI infrastructure exposure.
